"title_id","author_id","title","volumes","publisher_location","publisher_name","publication_year"
2807,991,"Who is He?: A Novel",3,"London","Remington",1879
2808,992,"The Lady Resident: A Novel",3,"London","Macmillan",1880
2809,993,"Julia Ingrand: A Tale of Catholicism in Peru",3,"London","Trübner",1877
2810,994,"Sunken Rocks: A Novel",3,"London","Chapman and Hall",1874
2811,995,"Mr. Leslie of Underwood: A Story with Two Heroines",3,"London","Smith, Elder",1879
2812,995,"Christine Brownlee's Ordeal",3,"London","Smith, Elder",1878
2813,996,"Trevor Court",3,"London","Hurst and Blackett",1872
2814,997,"His Little Cousin: A Tale",3,"London","Samuel Tinsley",1875
2815,997,"One Love in a Life",3,"London","Hurst and Blackett",1874
2816,998,"A Very Old Question: A Novel",3,"London","Samuel Tinsley",1877
2817,999,"Who Will Save Her?: A Novel",3,"London","Tinsley Brothers",1874
2818,1000,"Janet's Choice",3,"London","Hurst and Blackett",1872
2819,1001,"The Siege of Vienna: A Tale of 1683",3,"London","Samuel Tinsley",1877
2820,1002,"Firm in the Struggle: A Novel",3,"London","T. C. Newby",1872
2821,1003,"Thomas Brown's Will: A Novel",3,"London","Tinsley Brothers",1877
2822,1004,"Lissadel: or, In Stony Places. A Story",3,"London","Tinsley Brothers",1875
2823,1004,"Eunice: A Novel",3,"London","Tinsley Brothers",1876
2824,1005,"Blue and Green: or, The Gift of God. A Romance of Old Constantinople",3,"London","Chapman and Hall",1879
2825,1006,"Dangerfield",3,"London","Tinsley Brothers",1878
2826,1006,"George Vanbrugh's Mistake",3,"London","Sampson Low",1880
2827,1006,"Old Charlton",3,"London","Sampson Low",1879
2828,1007,"Hartleigh Towers: A Story of English Life",3,"London","William Isbister",1880
2829,1008,"Edith Dewar: or, Glimpses of Scottish Life and Manners in the Nineteenth Century",3,"London","Sampson Low",1875
2830,1009,"Harrington's Fortunes",3,"London","Samuel Tinsley",1880
2831,1010,"An Old Story of my Farming Days",3,"London","Sampson Low",1878
2832,1011,"The Adventures of Nevil Brooke: How India was Won for England",3,"London","George Bell and Sons",1877
2833,1012,"The Marble Queen: A Novel",3,"London","Chapman and Hall",1879
2834,1012,"Though Broken, Brave: A Novel",3,"London","Chapman and Hall",1877
2835,1012,"The Wheel of Fortune: A Story of Modern Life",3,"London","Chapman and Hall",1875
