script_id,imdb_character_name,words,gender,age,total_dialogue,imdb_id,title,year,gross (inflation-adjusted),link,proportion_of_dialogue
633,reb groshkover,111,m,,9029,tt1019452,A Serious Man,2009,10.0,film_20100519/all_imsdb_05_19_10/A-Serious-Man.html,0.012293720234798982
633,sy ableman,370,m,53.0,9029,tt1019452,A Serious Man,2009,10.0,film_20100519/all_imsdb_05_19_10/A-Serious-Man.html,0.040979067449329935
633,uncle arthur,357,m,53.0,9029,tt1019452,A Serious Man,2009,10.0,film_20100519/all_imsdb_05_19_10/A-Serious-Man.html,0.039539262376785914
640,buckaroo banzai,1723,m,37.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.2809849967384214
640,general catburd,334,m,54.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.05446836268754077
640,highway patrolm,126,m,36.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.02054794520547945
640,lord john whorf,330,m,39.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.053816046966731895
640,new jersey,132,m,32.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.021526418786692758
640,perfect tommy,464,m,28.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.07566862361382909
640,president widma,303,m,49.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.04941291585127201
640,professor hikit,301,m,53.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.04908675799086758
640,rawhide,493,m,25.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.08039791258969341
640,reno nevada,360,m,40.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.05870841487279843
640,secretary of de,687,m,48.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.11203522504892367
642,"alex, the pimp",156,m,,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.01988781234064253
642,detective lukic,199,m,,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.025369709331973484
642,kurt zagon,914,m,60.0,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.1165221825599184
642,lieutenant stro,169,m,,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.021545130035696074
642,machete man,113,m,,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.014405915349311576
642,nelson fox,667,m,46.0,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.08503314635390107
642,nico toscani,3835,m,36.0,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.4889087200407955
642,tony salvano,203,m,39.0,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.025879653238143806
642,uncle branca,271,m,,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.03454869964303926
647,agent gibbs,299,m,42.0,6171,tt0118571,Air Force One,1997,327.0,film_20100519/all_imsdb_05_19_10/Air-Force-One.html,0.048452438826770375
647,boris bazylev,115,m,42.0,6171,tt0118571,Air Force One,1997,327.0,film_20100519/all_imsdb_05_19_10/Air-Force-One.html,0.018635553394911682
647,chief of staff ,319,m,48.0,6171,tt0118571,Air Force One,1997,327.0,film_20100519/all_imsdb_05_19_10/Air-Force-One.html,0.05169340463458111
647,defense secreta,210,m,61.0,6171,tt0118571,Air Force One,1997,327.0,film_20100519/all_imsdb_05_19_10/Air-Force-One.html,0.03403014098201264
647,f-15 leader col,293,m,38.0,6171,tt0118571,Air Force One,1997,327.0,film_20100519/all_imsdb_05_19_10/Air-Force-One.html,0.04748014908442716
647,general northwo,202,m,50.0,6171,tt0118571,Air Force One,1997,327.0,film_20100519/all_imsdb_05_19_10/Air-Force-One.html,0.03273375465888835
