script_id,imdb_character_name,words,gender,age,total_dialogue,imdb_id,title,year,gross (inflation-adjusted),link,proportion_of_dialogue
902,wanda,163,f,29.0,4715,tt0119094,Face/Off,1997,212.0,film_20100519/all_imsdb_05_19_10/Face-Off.html,0.03457051961823966
906,cindy,114,f,22.0,7494,tt0083929,Fast Times at Ridgemont High,1982,,film_20100519/all_imsdb_05_19_10/Fast-Times-at-Ridgemont-High.html,0.01521216973578863
906,linda barrett,972,f,19.0,7494,tt0083929,Fast Times at Ridgemont High,1982,,film_20100519/all_imsdb_05_19_10/Fast-Times-at-Ridgemont-High.html,0.1297037630104083
906,lisa,130,f,22.0,7494,tt0083929,Fast Times at Ridgemont High,1982,,film_20100519/all_imsdb_05_19_10/Fast-Times-at-Ridgemont-High.html,0.017347211102215106
906,stacy hamilton,1583,f,20.0,7494,tt0083929,Fast Times at Ridgemont High,1982,,film_20100519/all_imsdb_05_19_10/Fast-Times-at-Ridgemont-High.html,0.21123565519081933
909,jeanie bueller,792,f,26.0,6492,tt0091042,Ferris Bueller's Day Off,1986,164.0,film_20100519/all_imsdb_05_19_10/Ferris-Bueller's-Day-Off.html,0.12199630314232902
909,joyce,384,f,,6492,tt0091042,Ferris Bueller's Day Off,1986,164.0,film_20100519/all_imsdb_05_19_10/Ferris-Bueller's-Day-Off.html,0.059149722735674676
909,secretary,138,f,,6492,tt0091042,Ferris Bueller's Day Off,1986,164.0,film_20100519/all_imsdb_05_19_10/Ferris-Bueller's-Day-Off.html,0.021256931608133085
909,sloane peterson,838,f,19.0,6492,tt0091042,Ferris Bueller's Day Off,1986,164.0,film_20100519/all_imsdb_05_19_10/Ferris-Bueller's-Day-Off.html,0.12908194701170672
910,belle,151,f,,5416,tt0426459,Feast,2005,,film_20100519/all_imsdb_05_19_10/Feast.html,0.027880354505169867
910,heroine,1301,f,28.0,5416,tt0426459,Feast,2005,,film_20100519/all_imsdb_05_19_10/Feast.html,0.2402141802067947
910,mean green,103,f,,5416,tt0426459,Feast,2005,,film_20100519/all_imsdb_05_19_10/Feast.html,0.019017725258493354
910,trampy,233,f,,5416,tt0426459,Feast,2005,,film_20100519/all_imsdb_05_19_10/Feast.html,0.04302067946824224
910,tuffy,195,f,34.0,5416,tt0426459,Feast,2005,,film_20100519/all_imsdb_05_19_10/Feast.html,0.03600443131462334
911,diva plavalagun,117,f,21.0,7340,tt0119116,The Fifth Element,1997,120.0,"film_20100519/all_imsdb_05_19_10/Fifth-Element,-The.html",0.015940054495912806
911,leeloo,262,f,22.0,7340,tt0119116,The Fifth Element,1997,120.0,"film_20100519/all_imsdb_05_19_10/Fifth-Element,-The.html",0.03569482288828338
912,group leader,201,f,30.0,10508,tt0137523,Fight Club,1999,63.0,film_20100519/all_imsdb_05_19_10/Fight-Club.html,0.019128283212790254
912,marla singer,943,f,33.0,10508,tt0137523,Fight Club,1999,63.0,film_20100519/all_imsdb_05_19_10/Fight-Club.html,0.08974114960030453
915,clear rivers,472,f,24.0,2879,tt0195714,Final Destination,2000,86.0,film_20100519/all_imsdb_05_19_10/Final-Destination.html,0.16394581451893017
915,valerie lewton,436,f,32.0,2879,tt0195714,Final Destination,2000,86.0,film_20100519/all_imsdb_05_19_10/Final-Destination.html,0.15144147273358805
916,catherine van o,779,f,28.0,7010,tt0065724,Five Easy Pieces,1970,,film_20100519/all_imsdb_05_19_10/Five-Easy-Pieces.html,0.11112696148359487
916,palm apodaca,687,f,32.0,7010,tt0065724,Five Easy Pieces,1970,,film_20100519/all_imsdb_05_19_10/Five-Easy-Pieces.html,0.09800285306704708
916,partita dupea,812,f,40.0,7010,tt0065724,Five Easy Pieces,1970,,film_20100519/all_imsdb_05_19_10/Five-Easy-Pieces.html,0.11583452211126961
916,rayette dipesto,1263,f,31.0,7010,tt0065724,Five Easy Pieces,1970,,film_20100519/all_imsdb_05_19_10/Five-Easy-Pieces.html,0.18017118402282453
